parameter,min,max,ICER_min,ICER_max,ICER_default,GDP
Sensitivity,0.5,1,32622.396850374156,18452.130742088037,22012.697151553435,31364.603448275862
SP9,0.25,0.75,69042.20119085682,9161.016948999031,22012.697151553435,31364.603448275862
Specificity,0.5,1,131214.39720547374,17682.60411955779,22012.697151553435,31364.603448275862
test_cost,1,50,13438.96601012983,60118.16889121386,22012.697151553435,31364.603448275862
vax_cost,10,250,-2279.541082480095,94889.411853654,22012.697151553435,31364.603448275862
